"","CPSID","CPSIDP","public_housing","age","female","race","marital_status","veteran","employed","education","worked_last_year","total_income_last_year","wage_income_last_year","own_farm_income_last_year","private_health_insurance","medicaid","class_of_worker","class_of_worker_last_year","union","earnings"
"917",20181202867200,20181202867207,0,39,1,1,6,0,1,92,1,30000,30000,0,1,0,21,22,0,850
"928",20181202864200,20181202864202,NA,65,0,1,1,0,1,81,1,122004,122000,-1,1,0,21,22,0,1100
"935",20171202903400,20171202903401,NA,66,0,1,1,0,1,73,1,160606,115000,-1,1,0,21,22,0,833
"936",20171202903400,20171202903402,NA,62,1,1,1,0,1,73,1,17020,17000,0,1,0,21,22,0,416
"937",20171202903400,20171202903403,NA,28,1,1,6,0,1,73,0,0,0,0,0,1,21,0,0,175
"938",20171202903400,20171202903405,NA,25,0,1,6,0,1,73,1,59000,59000,0,1,0,21,22,0,616
"939",20181202858900,20181202858901,NA,31,1,1,6,0,1,111,1,30000,30000,0,1,0,21,22,0,847
"968",20181202869600,20181202869601,NA,68,1,1,5,0,1,92,1,34986,400,0,0,0,21,22,0,220
"1048",20171202849000,20171202849002,NA,38,1,1,4,0,1,111,1,105430,100750,0,1,0,21,22,0,1938
"1049",20181202811400,20181202811401,NA,52,1,1,5,0,1,111,1,67123,60150,0,1,0,21,22,0,1154
"1056",20171202856200,20171202856201,NA,60,0,1,1,1,1,73,1,125016,123000,0,1,0,21,22,0,2365
"1057",20171202856200,20171202856202,NA,57,1,8,1,0,1,73,1,34505,34500,0,1,0,21,22,0,740
"1062",20171202855300,20171202855303,NA,40,0,1,6,0,1,111,1,30003,30000,0,0,0,21,22,0,420
"1093",20181202816700,20181202816701,NA,37,0,1,1,0,1,111,1,140009,140000,0,1,0,21,22,0,1500
"1094",20181202816700,20181202816702,NA,36,1,1,1,0,1,92,1,55710,55000,0,1,0,21,22,0,656
"1107",20181202807200,20181202807201,0,60,0,1,4,1,1,73,1,102680,101680,0,1,0,25,25,1,1975
"1108",20181202807200,20181202807202,0,27,0,1,6,0,1,73,1,35350,35000,0,1,0,25,25,1,923
"1109",20181202811000,20181202811001,NA,52,1,1,1,0,1,123,1,92450,91000,0,1,0,25,25,0,1750
"1110",20181202811000,20181202811002,NA,57,0,1,1,0,1,73,1,59000,45000,0,1,0,21,22,0,1180
"1111",20181202811000,20181202811003,NA,21,1,1,6,0,1,81,1,15000,15000,0,1,0,21,22,0,156
"1117",20181202809200,20181202809201,NA,63,0,1,1,1,1,73,1,100000,100000,0,1,0,25,25,0,1923
"1125",20181202804900,20181202804901,NA,24,0,1,6,0,1,111,1,45441,45000,0,1,0,21,22,0,615
"1164",20171202853600,20171202853601,0,25,0,1,6,0,1,73,1,60004,60000,0,1,0,21,22,0,500
"1172",20171202852900,20171202852901,NA,52,1,6,4,0,1,81,1,20800,20800,0,1,0,21,22,0,962
"1173",20181202806200,20181202806201,0,45,0,1,6,0,1,125,1,206368,185000,0,1,0,21,22,0,2885
"1187",20181202802900,20181202802902,NA,45,1,1,1,0,1,81,1,75024,55000,0,1,0,21,22,0,700
"1188",20181202802900,20181202802904,NA,18,0,1,6,0,1,81,1,31800,1800,0,1,0,21,22,0,220
"1281",20181204012200,20181204012201,0,34,0,1,3,0,1,81,1,50425,50000,0,1,0,21,22,0,962
"1301",20181204020200,20181204020201,NA,34,0,1,1,0,1,73,1,36401,36400,0,1,0,21,22,0,700
"1302",20181204020200,20181204020202,NA,29,1,1,1,0,1,73,1,36000,36000,0,1,0,21,22,0,125
"1341",20181203996000,20181203996001,0,38,0,1,1,0,1,81,1,50000,56000,0,0,1,21,22,0,871
"1355",20181204020500,20181204020501,0,25,1,1,1,0,1,111,1,23006,21000,0,1,0,28,28,1,332
"1356",20181204020500,20181204020502,0,27,0,1,1,0,1,111,1,30011,30000,0,1,0,21,22,0,520
"1412",20181204008200,20181204008201,NA,38,1,1,1,0,1,111,1,80000,80000,0,1,0,28,28,1,923
"1413",20181204008200,20181204008202,NA,39,0,1,1,0,1,123,1,128006,128000,0,1,0,21,22,0,2384
"1427",20171204051900,20171204051902,NA,65,1,1,1,0,1,111,1,66526,65000,0,1,0,21,22,1,1548
"1430",20171204067300,20171204067301,NA,38,0,1,1,0,1,111,1,120352,120000,0,1,0,21,22,0,2308
"1431",20171204067300,20171204067302,NA,39,1,1,1,0,1,111,1,100102,100000,0,1,0,21,22,0,1923
"1486",20181203995000,20181203995003,0,41,0,1,2,0,1,73,1,36000,36000,0,1,0,21,22,0,450
"1503",20171204065100,20171204065101,NA,58,0,1,1,0,1,123,1,153602,150000,0,1,0,21,22,0,1538
"1504",20171204065100,20171204065102,NA,57,1,1,1,0,1,111,1,24000,24000,0,1,0,21,28,1,703
"1506",20171204091700,20171204091702,NA,48,1,1,1,0,1,92,1,45873,45000,0,1,0,27,27,0,865
"1507",20171204091700,20171204091704,NA,17,1,1,6,0,1,60,1,2501,2500,0,1,0,21,22,0,48
"1508",20171204091700,20171204091703,NA,16,1,1,6,NA,1,50,1,2001,2000,0,1,0,21,22,0,38
